fips,year,bartik_alt,bartik_alt_amb,bartik_alt_hosp,bartik_alt_nh
26067,2014,0.0350132625994695,0.01479516651930445,0.0,0.020218096080165046
26067,2015,0.03566090528560623,0.015296977318448254,0.0,0.02036392796715798
26067,2016,0.036304399014075076,0.01577404536198647,0.0,0.020530353652088603
26067,2017,0.03685768992707187,0.01622444174313611,0.0,0.02063324818393576
26067,2018,0.037468411230340386,0.016713858813297712,0.0,0.020754552417042674
26067,2019,0.038031435826192055,0.017177587672964727,0.0,0.020853848153227328
26067,2020,0.036484721058519465,0.01667641611755202,0.0,0.019808304940967445
26067,2021,0.03621505081580721,0.01753165494109814,0.0,0.01868339587470907
26067,2022,0.03667260600738163,0.018123172198799335,0.0,0.018549433808582302
26067,2023,0.038434894262091776,0.018873758330117375,0.0,0.019561135931974404
26073,2014,0.0957617756352315,0.04218137993371497,0.0,0.05358039570151652
26073,2015,0.09757892254809242,0.04361205473861882,0.0,0.0539668678094736
26073,2016,0.09938010331334675,0.04497218734493068,0.0,0.05440791596841607
26073,2017,0.10093687729352686,0.04625627839245317,0.0,0.05468059890107369
26073,2018,0.10265368813912149,0.0476516183743044,0.0,0.055002069764817085
26073,2019,0.10423893609711636,0.04897372064265808,0.0,0.05526521545445828
26073,2020,0.10003926804254326,0.047544868337193916,0.0,0.05249439970534934
26073,2021,0.09949642990452981,0.04998317504384654,0.0,0.04951325486068327
26073,2022,0.10082784435715222,0.051669605145994266,0.0,0.049158239211157966
26073,2023,0.10564891646821058,0.053809544479342976,0.0,0.0518393719888676
26113,2014,,0.03943973461113159,,0.06892738665683745
26113,2015,,0.04077742045045,,0.06942455566928069
26113,2016,,0.04204914909264196,,0.06999193290843111
26113,2017,,0.0432497786171004,,0.07034272020083404
26113,2018,,0.04455442627592503,,0.07075626971337563
26113,2019,,0.04579059642196064,,0.07109478801768271
26113,2020,,0.04445461462585616,,0.06753032967441816
26113,2021,,0.04673443974210509,,0.0636952978367843
26113,2022,,0.0483112576597135,,0.06323859533162966
26113,2023,,0.050312108260709046,,0.06668768287993761
26107,2014,0.06608088589311507,0.033702455464612424,0.0,0.03237843042850265
26107,2015,0.06745752285224088,0.034845548790918605,0.0,0.032611974061322276
26107,2016,0.06881077747700229,0.03593227968171039,0.0,0.032878497795291894
26107,2017,0.07000153326902912,0.03695825420908813,0.0,0.03304327905994099
26107,2018,0.07131065808984234,0.03807311540306122,0.0,0.03323754268678112
26107,2019,0.07252602110651425,0.0391294604749596,0.0,0.033396560631554655
26107,2020,0.06970999046185121,0.037987823305523985,0.0,0.031722167156327225
26107,2021,0.06985667596747716,0.03993600336315038,0.0,0.029920672604326782
26107,2022,0.07098958033014433,0.04128344233980621,0.0,0.029706137990338118
26107,2023,0.07431956655540124,0.042993230170182806,0.0,0.03132633638521844
26099,2014,0.12550850405521685,0.0641181962981271,0.03513300745134655,0.026257300305743213
26099,2015,0.1283757965894478,0.06629290675387227,0.03563619723316187,0.026446692602413682
26099,2016,0.13153792393802863,0.06836038888888137,0.03651470492466001,0.02666283012448726
26099,2017,0.1341896794914199,0.07031228334987569,0.037080936588656924,0.026796459552887304
26099,2018,0.13678693621056479,0.07243328278136779,0.037399655715227804,0.026953997713969193
26099,2019,0.13939955458846767,0.07444295654978673,0.037873644662727426,0.02708295337595351
26099,2020,0.13528853334238694,0.07227101640115363,0.03729241358231834,0.025725103358914966
26099,2021,0.13758271092849197,0.0759773870390481,0.03734114321347019,0.02426418067597368
26099,2022,0.1401711161782676,0.07854086069738973,0.03754005173062072,0.024090203750257163
26099,2023,0.14613095712637295,0.08179369525276346,0.03893315762705753,0.025404104246551946
26111,2014,0.045792633748543775,0.045792633748543775,0.0,0.0
26111,2015,0.04734579221460588,0.04734579221460588,0.0,0.0
26111,2016,0.048822369187387846,0.048822369187387846,0.0,0.0
26111,2017,0.05021639449266199,0.05021639449266199,0.0,0.0
26111,2018,0.05173119303277664,0.05173119303277664,0.0,0.0
26111,2019,0.053166483794908584,0.053166483794908584,0.0,0.0
26111,2020,0.05161530385703783,0.05161530385703783,0.0,0.0
26111,2021,0.05426236012119566,0.05426236012119566,0.0,0.0
26111,2022,0.05609316973746534,0.05609316973746534,0.0,0.0
26111,2023,0.05841631464856427,0.05841631464856427,0.0,0.0
26105,2014,0.04424379232505643,0.04424379232505643,0.0,0.0
26105,2015,0.04574441840823165,0.04574441840823165,0.0,0.0
26105,2016,0.0471710532092449,0.0471710532092449,0.0,0.0
26105,2017,0.04851792848270269,0.04851792848270269,0.0,0.0
26105,2018,0.049981492085336976,0.049981492085336976,0.0,0.0
26105,2019,0.0513682370966535,0.0513682370966535,0.0,0.0
26105,2020,0.049869522622032786,0.049869522622032786,0.0,0.0
26105,2021,0.052427047665629195,0.052427047665629195,0.0,0.0
26105,2022,0.054195933921304056,0.054195933921304056,0.0,0.0
26105,2023,0.05644050324553388,0.05644050324553388,0.0,0.0
26139,2014,0.06246860317366508,0.032908798991361565,0.0,0.029559804182303518
26139,2015,0.06379799093970731,0.03402497370282364,0.0,0.029773017236883668
26139,2016,0.06510245264270534,0.03508611325333268,0.0,0.030016339389372655
26139,2017,0.06625470320531435,0.03608792718725163,0.0,0.030166776018062717
26139,2018,0.06752066309558469,0.03717653460264464,0.0,0.030344128492940048
26139,2019,0.06869730740119953,0.03820800388751975,0.0,0.030489303513679785
26139,2020,0.06605392137004736,0.037093251042004616,0.0,0.028960670328042736
26139,2021,0.06631155410429136,0.03899555356066604,0.0,0.027316000543625325
26139,2022,0.06743140352637156,0.04031126180282816,0.0,0.027120141723543406
26139,2023,0.07058008362502294,0.04198078597405123,0.0,0.028599297650971713
26065,2014,0.0638170221799688,0.0638170221799688,0.0,0.0
26065,2015,0.06598151764930493,0.06598151764930493,0.0,0.0
26065,2016,0.06803928846763999,0.06803928846763999,0.0,0.0
26065,2017,0.06998201454700524,0.06998201454700524,0.0,0.0
26065,2018,0.072093051281942,0.072093051281942,0.0,0.0
