label,outcome,fe,variable,coef,se,t,p,n,within_r2,counties,years,year_list,covariance
No-FE compare [rn_per_10k] - pooled OLS,rn_per_10k,none (pooled),const,100.0562,17.7266,5.6444,0.0,913,0.5196,83,11,"2012,2013,2014,2015,2016,2017,2019,2020,2021,2022,2023",county_clustered_clustered
No-FE compare [rn_per_10k] - pooled OLS,rn_per_10k,none (pooled),share_75plus,4.0625,1.9401,2.0939,0.0365,913,0.5196,83,11,"2012,2013,2014,2015,2016,2017,2019,2020,2021,2022,2023",county_clustered_clustered
No-FE compare [rn_per_10k] - pooled OLS,rn_per_10k,none (pooled),share_65_74,-2.1214,1.3574,-1.5628,0.1184,913,0.5196,83,11,"2012,2013,2014,2015,2016,2017,2019,2020,2021,2022,2023",county_clustered_clustered
No-FE compare [rn_per_10k] - pooled OLS,rn_per_10k,none (pooled),population_growth_rate,41.0025,73.0325,0.5614,0.5746,913,0.5196,83,11,"2012,2013,2014,2015,2016,2017,2019,2020,2021,2022,2023",county_clustered_clustered
No-FE compare [rn_per_10k] - pooled OLS,rn_per_10k,none (pooled),hosp_beds_per_1k,3.1762,1.5608,2.035,0.0421,913,0.5196,83,11,"2012,2013,2014,2015,2016,2017,2019,2020,2021,2022,2023",county_clustered_clustered
No-FE compare [rn_per_10k] - pooled OLS,rn_per_10k,none (pooled),nh_beds_per_65plus_ahrf,-5.824,4.8135,-1.2099,0.2266,913,0.5196,83,11,"2012,2013,2014,2015,2016,2017,2019,2020,2021,2022,2023",county_clustered_clustered
No-FE compare [rn_per_10k] - pooled OLS,rn_per_10k,none (pooled),poverty_rate,-2.2318,0.6065,-3.6801,0.0002,913,0.5196,83,11,"2012,2013,2014,2015,2016,2017,2019,2020,2021,2022,2023",county_clustered_clustered
No-FE compare [rn_per_10k] - pooled OLS,rn_per_10k,none (pooled),bachelors_plus_share,2.3012,0.4355,5.2843,0.0,913,0.5196,83,11,"2012,2013,2014,2015,2016,2017,2019,2020,2021,2022,2023",county_clustered_clustered
No-FE compare [rn_per_10k] - pooled OLS,rn_per_10k,none (pooled),ipeds_rn_per_10k_lag1,0.2393,0.2887,0.8289,0.4074,913,0.5196,83,11,"2012,2013,2014,2015,2016,2017,2019,2020,2021,2022,2023",county_clustered_clustered
No-FE compare [rn_per_10k] - pooled OLS,rn_per_10k,none (pooled),forgn_born_popn_pct_23,-3.5505,1.3826,-2.568,0.0104,913,0.5196,83,11,"2012,2013,2014,2015,2016,2017,2019,2020,2021,2022,2023",county_clustered_clustered
No-FE compare [lpn_per_10k] - TWFE,lpn_per_10k,county+year,share_75plus,1.0177,1.2974,0.7844,0.433,911,0.1635,83,11,"2012,2013,2014,2015,2016,2017,2019,2020,2021,2022,2023",county_clustered_clustered
No-FE compare [lpn_per_10k] - TWFE,lpn_per_10k,county+year,share_65_74,-1.8789,0.9659,-1.9453,0.0521,911,0.1635,83,11,"2012,2013,2014,2015,2016,2017,2019,2020,2021,2022,2023",county_clustered_clustered
No-FE compare [lpn_per_10k] - TWFE,lpn_per_10k,county+year,population_growth_rate,-49.1287,13.5451,-3.6271,0.0003,911,0.1635,83,11,"2012,2013,2014,2015,2016,2017,2019,2020,2021,2022,2023",county_clustered_clustered
No-FE compare [lpn_per_10k] - TWFE,lpn_per_10k,county+year,hosp_beds_per_1k,-2.5372,0.4368,-5.8087,0.0,911,0.1635,83,11,"2012,2013,2014,2015,2016,2017,2019,2020,2021,2022,2023",county_clustered_clustered
No-FE compare [lpn_per_10k] - TWFE,lpn_per_10k,county+year,nh_beds_per_65plus_ahrf,-3.4744,0.5165,-6.7263,0.0,911,0.1635,83,11,"2012,2013,2014,2015,2016,2017,2019,2020,2021,2022,2023",county_clustered_clustered
No-FE compare [lpn_per_10k] - TWFE,lpn_per_10k,county+year,poverty_rate,0.0733,0.2613,0.2804,0.7792,911,0.1635,83,11,"2012,2013,2014,2015,2016,2017,2019,2020,2021,2022,2023",county_clustered_clustered
No-FE compare [lpn_per_10k] - TWFE,lpn_per_10k,county+year,bachelors_plus_share,0.7863,0.3156,2.4913,0.0129,911,0.1635,83,11,"2012,2013,2014,2015,2016,2017,2019,2020,2021,2022,2023",county_clustered_clustered
No-FE compare [lpn_per_10k] - TWFE,lpn_per_10k,county+year,ipeds_lpn_per_10k_lag1,0.416,0.0554,7.5069,0.0,911,0.1635,83,11,"2012,2013,2014,2015,2016,2017,2019,2020,2021,2022,2023",county_clustered_clustered
No-FE compare [lpn_per_10k] - pooled OLS,lpn_per_10k,none (pooled),const,34.0487,6.4496,5.2792,0.0,911,0.4655,83,11,"2012,2013,2014,2015,2016,2017,2019,2020,2021,2022,2023",county_clustered_clustered
No-FE compare [lpn_per_10k] - pooled OLS,lpn_per_10k,none (pooled),share_75plus,7.1413,1.0962,6.5143,0.0,911,0.4655,83,11,"2012,2013,2014,2015,2016,2017,2019,2020,2021,2022,2023",county_clustered_clustered
No-FE compare [lpn_per_10k] - pooled OLS,lpn_per_10k,none (pooled),share_65_74,-4.4769,0.7106,-6.3004,0.0,911,0.4655,83,11,"2012,2013,2014,2015,2016,2017,2019,2020,2021,2022,2023",county_clustered_clustered
No-FE compare [lpn_per_10k] - pooled OLS,lpn_per_10k,none (pooled),population_growth_rate,-145.718,70.222,-2.0751,0.0383,911,0.4655,83,11,"2012,2013,2014,2015,2016,2017,2019,2020,2021,2022,2023",county_clustered_clustered
No-FE compare [lpn_per_10k] - pooled OLS,lpn_per_10k,none (pooled),hosp_beds_per_1k,0.9324,0.4843,1.9255,0.0545,911,0.4655,83,11,"2012,2013,2014,2015,2016,2017,2019,2020,2021,2022,2023",county_clustered_clustered
No-FE compare [lpn_per_10k] - pooled OLS,lpn_per_10k,none (pooled),nh_beds_per_65plus_ahrf,8.2427,1.9219,4.2888,0.0,911,0.4655,83,11,"2012,2013,2014,2015,2016,2017,2019,2020,2021,2022,2023",county_clustered_clustered
No-FE compare [lpn_per_10k] - pooled OLS,lpn_per_10k,none (pooled),poverty_rate,-0.1159,0.2544,-0.4557,0.6487,911,0.4655,83,11,"2012,2013,2014,2015,2016,2017,2019,2020,2021,2022,2023",county_clustered_clustered
No-FE compare [lpn_per_10k] - pooled OLS,lpn_per_10k,none (pooled),bachelors_plus_share,-0.4578,0.214,-2.1395,0.0327,911,0.4655,83,11,"2012,2013,2014,2015,2016,2017,2019,2020,2021,2022,2023",county_clustered_clustered
No-FE compare [lpn_per_10k] - pooled OLS,lpn_per_10k,none (pooled),ipeds_lpn_per_10k_lag1,0.6647,0.1392,4.7738,0.0,911,0.4655,83,11,"2012,2013,2014,2015,2016,2017,2019,2020,2021,2022,2023",county_clustered_clustered
No-FE compare [lpn_per_10k] - pooled OLS,lpn_per_10k,none (pooled),forgn_born_popn_pct_23,-0.9965,0.5962,-1.6715,0.095,911,0.4655,83,11,"2012,2013,2014,2015,2016,2017,2019,2020,2021,2022,2023",county_clustered_clustered
Vacancy pressure - RN postings,rn_postings_per_10k,county+year,share_75plus,-5.3524,2.6383,-2.0287,0.0428,828,0.0429,83,10,"2013,2014,2015,2016,2017,2018,2020,2021,2022,2023",county_clustered_clustered
Vacancy pressure - RN postings,rn_postings_per_10k,county+year,share_65_74,-2.021,2.5081,-0.8058,0.4206,828,0.0429,83,10,"2013,2014,2015,2016,2017,2018,2020,2021,2022,2023",county_clustered_clustered
Vacancy pressure - RN postings,rn_postings_per_10k,county+year,population_growth_rate,52.467,149.3347,0.3513,0.7254,828,0.0429,83,10,"2013,2014,2015,2016,2017,2018,2020,2021,2022,2023",county_clustered_clustered
Vacancy pressure - RN postings,rn_postings_per_10k,county+year,hpsa_prim_care,-9.944,9.9421,-1.0002,0.3175,828,0.0429,83,10,"2013,2014,2015,2016,2017,2018,2020,2021,2022,2023",county_clustered_clustered
Vacancy pressure - RN postings,rn_postings_per_10k,county+year,hosp_beds_per_1k,1.6134,1.102,1.4641,0.1436,828,0.0429,83,10,"2013,2014,2015,2016,2017,2018,2020,2021,2022,2023",county_clustered_clustered
Vacancy pressure - RN postings,rn_postings_per_10k,county+year,nh_beds_per_65plus_ahrf,4.4852,1.2419,3.6114,0.0003,828,0.0429,83,10,"2013,2014,2015,2016,2017,2018,2020,2021,2022,2023",county_clustered_clustered
Vacancy pressure - RN postings,rn_postings_per_10k,county+year,poverty_rate,1.539,0.6789,2.2669,0.0237,828,0.0429,83,10,"2013,2014,2015,2016,2017,2018,2020,2021,2022,2023",county_clustered_clustered
Vacancy pressure - RN postings,rn_postings_per_10k,county+year,bachelors_plus_share,0.8264,0.5466,1.5118,0.131,828,0.0429,83,10,"2013,2014,2015,2016,2017,2018,2020,2021,2022,2023",county_clustered_clustered
Vacancy pressure - RN postings,rn_postings_per_10k,county+year,rn_per_10k_lag1,-0.1048,0.0758,-1.3826,0.1672,828,0.0429,83,10,"2013,2014,2015,2016,2017,2018,2020,2021,2022,2023",county_clustered_clustered
Vacancy pressure - RN postings,rn_postings_per_10k,county+year,ipeds_rn_per_10k_lag1,-0.0206,0.105,-0.1958,0.8448,828,0.0429,83,10,"2013,2014,2015,2016,2017,2018,2020,2021,2022,2023",county_clustered_clustered
Vacancy pressure - LPN postings,lpn_postings_per_10k,county+year,share_75plus,-1.0165,0.8258,-1.2308,0.2188,826,0.0162,83,10,"2013,2014,2015,2016,2017,2018,2020,2021,2022,2023",county_clustered_clustered
Vacancy pressure - LPN postings,lpn_postings_per_10k,county+year,share_65_74,-0.6982,0.6381,-1.0941,0.2743,826,0.0162,83,10,"2013,2014,2015,2016,2017,2018,2020,2021,2022,2023",county_clustered_clustered
Vacancy pressure - LPN postings,lpn_postings_per_10k,county+year,population_growth_rate,-3.2032,22.8859,-0.14,0.8887,826,0.0162,83,10,"2013,2014,2015,2016,2017,2018,2020,2021,2022,2023",county_clustered_clustered
Vacancy pressure - LPN postings,lpn_postings_per_10k,county+year,hpsa_prim_care,0.7489,1.3561,0.5522,0.581,826,0.0162,83,10,"2013,2014,2015,2016,2017,2018,2020,2021,2022,2023",county_clustered_clustered
Vacancy pressure - LPN postings,lpn_postings_per_10k,county+year,hosp_beds_per_1k,0.0989,0.2117,0.4672,0.6405,826,0.0162,83,10,"2013,2014,2015,2016,2017,2018,2020,2021,2022,2023",county_clustered_clustered
Vacancy pressure - LPN postings,lpn_postings_per_10k,county+year,nh_beds_per_65plus_ahrf,-0.5106,0.3417,-1.494,0.1356,826,0.0162,83,10,"2013,2014,2015,2016,2017,2018,2020,2021,2022,2023",county_clustered_clustered
Vacancy pressure - LPN postings,lpn_postings_per_10k,county+year,poverty_rate,0.2509,0.2552,0.9832,0.3258,826,0.0162,83,10,"2013,2014,2015,2016,2017,2018,2020,2021,2022,2023",county_clustered_clustered
Vacancy pressure - LPN postings,lpn_postings_per_10k,county+year,bachelors_plus_share,0.2629,0.2274,1.1563,0.2479,826,0.0162,83,10,"2013,2014,2015,2016,2017,2018,2020,2021,2022,2023",county_clustered_clustered
Vacancy pressure - LPN postings,lpn_postings_per_10k,county+year,lpn_per_10k_lag1,-0.0347,0.0602,-0.5777,0.5637,826,0.0162,83,10,"2013,2014,2015,2016,2017,2018,2020,2021,2022,2023",county_clustered_clustered
Vacancy pressure - LPN postings,lpn_postings_per_10k,county+year,ipeds_lpn_per_10k_lag1,0.0224,0.0676,0.3313,0.7405,826,0.0162,83,10,"2013,2014,2015,2016,2017,2018,2020,2021,2022,2023",county_clustered_clustered
Vacancy pressure - log RN postings (robustness),log_rn_postings,county+year,share_75plus,-0.186,0.1134,-1.6411,0.1012,830,0.0159,83,10,"2013,2014,2015,2016,2017,2018,2020,2021,2022,2023",county_clustered_clustered
Vacancy pressure - log RN postings (robustness),log_rn_postings,county+year,share_65_74,-0.0128,0.0989,-0.1293,0.8972,830,0.0159,83,10,"2013,2014,2015,2016,2017,2018,2020,2021,2022,2023",county_clustered_clustered
Vacancy pressure - log RN postings (robustness),log_rn_postings,county+year,population_growth_rate,-0.6449,2.5041,-0.2575,0.7968,830,0.0159,83,10,"2013,2014,2015,2016,2017,2018,2020,2021,2022,2023",county_clustered_clustered
Vacancy pressure - log RN postings (robustness),log_rn_postings,county+year,hpsa_prim_care,-0.3903,0.3124,-1.2492,0.212,830,0.0159,83,10,"2013,2014,2015,2016,2017,2018,2020,2021,2022,2023",county_clustered_clustered
Vacancy pressure - log RN postings (robustness),log_rn_postings,county+year,hosp_beds_per_1k,0.073,0.0371,1.9672,0.0495,830,0.0159,83,10,"2013,2014,2015,2016,2017,2018,2020,2021,2022,2023",county_clustered_clustered
Vacancy pressure - log RN postings (robustness),log_rn_postings,county+year,nh_beds_per_65plus_ahrf,0.0744,0.0311,2.3906,0.0171,830,0.0159,83,10,"2013,2014,2015,2016,2017,2018,2020,2021,2022,2023",county_clustered_clustered
Vacancy pressure - log RN postings (robustness),log_rn_postings,county+year,poverty_rate,0.0149,0.0259,0.5756,0.5651,830,0.0159,83,10,"2013,2014,2015,2016,2017,2018,2020,2021,2022,2023",county_clustered_clustered
Vacancy pressure - log RN postings (robustness),log_rn_postings,county+year,bachelors_plus_share,0.0113,0.0236,0.4788,0.6322,830,0.0159,83,10,"2013,2014,2015,2016,2017,2018,2020,2021,2022,2023",county_clustered_clustered
Vacancy pressure - log RN postings (robustness),log_rn_postings,county+year,rn_per_10k_lag1,0.0001,0.0026,0.041,0.9673,830,0.0159,83,10,"2013,2014,2015,2016,2017,2018,2020,2021,2022,2023",county_clustered_clustered
Vacancy pressure - log RN postings (robustness),log_rn_postings,county+year,ipeds_rn_per_10k_lag1,0.0016,0.0046,0.3529,0.7243,830,0.0159,83,10,"2013,2014,2015,2016,2017,2018,2020,2021,2022,2023",county_clustered_clustered
Vacancy pressure - log LPN postings (robustness),log_lpn_postings,county+year,share_75plus,-0.1192,0.129,-0.9234,0.3561,828,0.0268,83,10,"2013,2014,2015,2016,2017,2018,2020,2021,2022,2023",county_clustered_clustered
Vacancy pressure - log LPN postings (robustness),log_lpn_postings,county+year,share_65_74,-0.1111,0.1076,-1.0329,0.302,828,0.0268,83,10,"2013,2014,2015,2016,2017,2018,2020,2021,2022,2023",county_clustered_clustered
Vacancy pressure - log LPN postings (robustness),log_lpn_postings,county+year,population_growth_rate,-0.6782,2.1098,-0.3215,0.7479,828,0.0268,83,10,"2013,2014,2015,2016,2017,2018,2020,2021,2022,2023",county_clustered_clustered
Vacancy pressure - log LPN postings (robustness),log_lpn_postings,county+year,hpsa_prim_care,0.0648,0.3934,0.1647,0.8692,828,0.0268,83,10,"2013,2014,2015,2016,2017,2018,2020,2021,2022,2023",county_clustered_clustered
Vacancy pressure - log LPN postings (robustness),log_lpn_postings,county+year,hosp_beds_per_1k,-0.0037,0.0292,-0.1264,0.8994,828,0.0268,83,10,"2013,2014,2015,2016,2017,2018,2020,2021,2022,2023",county_clustered_clustered
Vacancy pressure - log LPN postings (robustness),log_lpn_postings,county+year,nh_beds_per_65plus_ahrf,-0.0204,0.0365,-0.5593,0.5761,828,0.0268,83,10,"2013,2014,2015,2016,2017,2018,2020,2021,2022,2023",county_clustered_clustered
Vacancy pressure - log LPN postings (robustness),log_lpn_postings,county+year,poverty_rate,0.0195,0.0365,0.5339,0.5936,828,0.0268,83,10,"2013,2014,2015,2016,2017,2018,2020,2021,2022,2023",county_clustered_clustered
Vacancy pressure - log LPN postings (robustness),log_lpn_postings,county+year,bachelors_plus_share,0.0313,0.0344,0.9078,0.3643,828,0.0268,83,10,"2013,2014,2015,2016,2017,2018,2020,2021,2022,2023",county_clustered_clustered
Vacancy pressure - log LPN postings (robustness),log_lpn_postings,county+year,lpn_per_10k_lag1,0.0103,0.0065,1.579,0.1148,828,0.0268,83,10,"2013,2014,2015,2016,2017,2018,2020,2021,2022,2023",county_clustered_clustered
Vacancy pressure - log LPN postings (robustness),log_lpn_postings,county+year,ipeds_lpn_per_10k_lag1,0.0006,0.0078,0.0721,0.9425,828,0.0268,83,10,"2013,2014,2015,2016,2017,2018,2020,2021,2022,2023",county_clustered_clustered
No-FE compare [rn_postings_per_10k] - TWFE,rn_postings_per_10k,county+year,share_75plus,-5.3524,2.6383,-2.0287,0.0428,828,0.0429,83,10,"2013,2014,2015,2016,2017,2018,2020,2021,2022,2023",county_clustered_clustered
