mechanism,occupation,signature_term,supply_coef,supply_se,supply_p,supply_sig,post_coef,post_se,post_p,post_sig,robust_both
Baseline,RN,ipeds_rn_per_10k_lag1,0.366,1.345,0.7856,,-0.035,0.093,0.7094,,False
Baseline,LPN,ipeds_lpn_per_10k_lag1,4.198,0.669,0.0,***,0.004,0.047,0.9361,,False
Training,RN,ipeds_rn_per_10k_lag1,-0.124,0.455,0.7854,,0.021,0.112,0.8525,,False
Training,LPN,ipeds_lpn_per_10k_lag1,2.581,1.054,0.0147,**,0.063,0.053,0.2409,,False
Retention,RN,rn_age_55plus_pct_lag1,0.654,0.964,0.4978,,0.209,0.267,0.4336,,False
Retention,LPN,lpn_age_55plus_pct_lag1,-0.174,0.229,0.4468,,0.053,0.032,0.1058,,False
Employer,RN,operating_margin_wmean,-4.42,2.933,0.1325,,0.482,0.737,0.5135,,False
Employer,LPN,operating_margin_wmean,-1.967,2.004,0.3267,,0.04,0.082,0.6233,,False
