fips,county_name,year,score_vacancy_rn,score_vacancy_lpn,score_retention_rn,score_retention_lpn,score_training_lpn,score_employer,score_spatial_rn
26095,Luce,2023,3.9833260219828714,0.24869344685824446,-1.8273717167991534,-5.230426578241067,-0.1267187578937819,0.8726238221786606,0.5882519346745413
26025,Calhoun,2023,2.3433727984845087,0.9447245119915411,-0.5354508791071375,-1.9726216288755962,-4.1028238518112055,0.9753986416701481,0.10759724490355839
26121,Muskegon,2023,2.1464204495003334,1.5878267719704722,-1.2911073175264334,-0.24307669192024306,-0.7560023221577822,1.36906418911353,
26057,Gratiot,2023,1.8865657946089822,2.066463140763565,-0.910584046923805,1.3090830569571903,0.5027658800772375,0.6490971652033801,0.7148714220292746
26027,Cass,2023,1.8229480876795003,1.1861335504216661,1.2300726822536174,-0.4070744230391277,1.5799389225590095,2.6623211402032103,
26065,Ingham,2023,1.7542210109928804,1.6253221811838061,-1.473627642586321,-0.8563340777792005,-0.53742911224538,0.909559493396646,1.7841712923216824
26081,Kent,2023,1.5639266547909603,2.025438135283914,-4.523121208388068,-0.6977987468469582,0.3635597280653098,-0.4175555090966439,-1.0377547237437654
26097,Mackinac,2023,1.5023517249412004,-1.341506143030716,1.1464642079087872,1.619690037310928,-0.10902302942196812,-0.5083285801779315,0.4578464371963925
26023,Branch,2023,1.462800389584222,-1.0787874397310628,-0.41995497211627925,-1.734226652192425,0.20574908975474232,,
26123,Newaygo,2023,1.4175081061861445,-0.023225183107930397,0.9276171220637514,2.0545203287255713,0.9757188815187987,-0.47708784448107355,0.4818304772860216
26091,Lenawee,2023,1.3515024555978994,0.05390527909697479,0.6173236162837866,-0.5849043473254938,-0.303502977106479,,
26021,Berrien,2023,1.3144605734046375,1.6666412493748286,0.22449751636264614,-0.44712749043130817,1.1510566655433423,,
26163,Wayne,2023,1.28840236349931,-0.27092230793768934,-1.8185582207454707,0.5391213923263192,-0.37788663542341006,0.43694846066521253,1.4726857776446538
26007,Alpena,2023,1.2133654938738254,-1.5829795071966326,-2.856130796775278,-1.7362249518297792,-3.504277720148092,-2.0081767430372803,-1.5147092297579094
26053,Gogebic,2023,1.1342236850870584,-1.9803904084604536,,-3.9498017405863104,-7.9310245708722125,0.025453063990785507,
26085,Lake,2023,0.9623911843829629,2.0862112819772265,,2.217624709711904,1.7368431696056708,,1.7298319700105373
26127,Oceana,2023,0.9218958178659984,2.262387861414536,1.7554167786244341,0.5858531027443458,1.0790923639552603,-0.31940254027798365,
26149,St. Joseph,2023,0.899348922565377,-0.47815118163243164,-1.304477172300237,0.2900026711253346,0.33532545752962206,4.247373096622381,
26107,Mecosta,2023,0.8344019608615728,0.9512409394035979,1.7960265583910675,0.4745747582918249,1.48429720429563,,-0.050190737137310634
26109,Menominee,2023,0.7415114928440397,0.46762758562310447,-2.4614907368217347,-1.261987511775601,-0.509633646265747,,
26045,Eaton,2023,0.7277863878462079,0.8193587510897702,-1.0260260026189567,-1.1519556059516487,1.0932252797971884,-0.06291111534264326,0.20280213225429775
26073,Isabella,2023,0.7064569989087739,-0.5530853155066168,-2.4244683276194188,0.7194120538085944,1.1595575435598344,3.9913654336973856,0.7898678198209053
26115,Monroe,2023,0.6988044061207072,-0.7958723906615145,-1.4106134773236192,-1.8293947631294374,-1.4278665836679125,,
26005,Allegan,2023,0.5900777365908996,0.518704666233628,-0.8325209813463568,0.27686100730369784,0.9810374804616961,-1.767043567716247,
26063,Huron,2023,0.5672257614740468,-3.0538880954701133,-0.10856292780117072,-1.1399097284253115,-2.679399677168171,0.6367185971159052,0.4961474911523338
26135,Oscoda,2023,0.5262818383225708,-0.42893250560149665,2.602936857952712,-0.17962646424912065,0.03399011502973509,,1.249707090469748
26077,Kalamazoo,2023,0.5173168876970423,1.3549960964934824,-1.399381410249509,-1.8078209831608274,1.0349770615131055,1.8785657917320262,-1.322223801599333
26033,Chippewa,2023,0.5010767245178775,-0.42646295892854313,-2.48964242775397,-3.2316998484461257,-0.3622774457745068,1.0080340567233461,0.301686557112753
26161,Washtenaw,2023,0.48517802286104805,1.5702046537975711,-0.5087336940120881,-1.135206703454615,1.7098517018475272,-1.8172737600016864,-0.7265103420880779
26071,Iron,2023,0.43125546695601985,-1.6920794753971773,0.7974647322473534,-3.980498981783532,-0.26435416287693525,0.6972439732160398,
26117,Montcalm,2023,0.4182727682666274,-0.07182223536107588,0.6405376161812655,1.5135049979179211,0.20630708372965606,-0.10171981337056235,0.19984321760684431
26067,Ionia,2023,0.4132854226634417,0.0448311866295068,-2.3448391402179727,-0.42416915061656757,1.0310313686249175,,1.4005735348580874
26133,Osceola,2023,0.34532860946170063,-0.2333346813695188,-0.3817500780549462,2.4556363872498483,1.1530362317948317,-0.6342004852399192,-0.12351992444716987
26047,Emmet,2023,0.300353792950228,1.2883501257382697,1.021174317032035,2.7011382086692928,1.7592832137527985,-2.7695852679727713,-2.0100965678441267
26039,Crawford,2023,0.25805472704353744,-2.133438409942231,1.2232026433173546,1.4662796358285077,-0.7231185491602631,0.3675760689282688,-0.5087241877942841
26125,Oakland,2023,0.19222455784903814,0.9196618374247317,-0.06193349870717613,0.9621131803544213,0.8491062541596694,-1.0781608480153124,0.17095213922835867
26137,Otsego,2023,0.1913989831283191,1.2266575803011062,-1.0119087109235387,-1.721844499530564,0.40316259427117446,-0.6615311857344074,-0.8253481297671081
26059,Hillsdale,2023,0.1681944673536624,-1.159215689931389,0.058522516001600994,1.2268622893858767,-0.049371944760415676,1.4285971207736639,
26165,Wexford,2023,0.13790278752842522,0.4084360160892349,0.23102953504129886,1.7945422704095977,1.136410485897203,0.19443196102745053,0.2973012643405035
26075,Jackson,2023,0.10610894354655778,0.5082680113956135,-0.7379174661292395,0.30751583000798666,-0.0906375830771549,-0.2937441931618584,-0.03529502204466254
26069,Iosco,2023,0.09206499774110266,-0.7376530631970212,2.1989012777907395,-1.2568165830498705,-0.6109270605895197,,0.568070090746997
26153,Schoolcraft,2023,-0.006308127865393698,-2.6102658215520806,-1.2329411036522817,-2.2964095363615527,-2.5036831988574364,0.2061887201108336,0.3999718825496248
26035,Clare,2023,-0.027855454667724988,0.7734913227035611,1.1647135661747945,1.1331929157301603,0.563875911316954,,0.38960073658803634
26003,Alger,2023,-0.12854294834904056,-0.49378269571913624,3.168347168382056,1.7346621008602683,-1.1306621465937012,1.5054395730633643,1.1674107211206557
26015,Barry,2023,-0.13606383687217155,0.046972366684625386,2.4281204261491727,-0.09620403712132264,0.5412202388030802,-1.5552822785008882,-0.5521322404145169
26119,Montmorency,2023,-0.2181008700983582,0.7603531339760359,3.158431698608934,0.9616012590711887,0.3993559597753309,,0.4243143439787151
26079,Kalkaska,2023,-0.29571850180132686,-0.7411992469434989,1.9999997107531606,0.021180485082415323,0.5912883468589321,1.297916506045727,1.2491285519970146
26129,Ogemaw,2023,-0.32185068300809105,2.988476016451389,1.046628976013301,1.6997052059042623,0.6044034646088563,,-1.0857254365981635
26103,Marquette,2023,-0.3379936192324522,0.06352736988749053,-2.84434048475741,-2.1461122575150213,-4.189981595616562,-1.257236775114981,-1.3441975288615595
26139,Ottawa,2023,-0.3796404318799187,1.0390170552137254,-3.306825001624672,-0.8778746300426326,0.9060084200387609,-0.1858187524477284,
26157,Tuscola,2023,-0.4153655054517267,-1.3247735584130687,0.3485807890898065,1.363637237795178,-0.6522837974725536,-0.0177468253918118,0.6426172310513123
26145,Saginaw,2023,-0.4213258238627195,-0.39281572576154467,-2.523091638881544,2.221213130901915,-0.6450691987437878,0.1310925683633164,-0.11214038142888354
26101,Manistee,2023,-0.426723807994854,-0.39873146992409325,2.8441287450599844,1.8861505922877502,1.109724316042239,0.8062899403301339,
26049,Genesee,2023,-0.4359972720741204,0.41494000499596756,-0.49430638105300606,2.5867582241316587,0.9573418595434281,0.12093277981200728,0.2847925076596128
26061,Houghton,2023,-0.45703727756823787,1.9209624144316266,-4.331904335582291,-5.628548659634365,0.09150339842718816,-0.134201538132122,-0.28315803482530566
26041,Delta,2023,-0.47809243540624347,-0.6447034600997503,-3.051170197199438,-1.8608535461141156,-1.7219984218427713,,
26011,Arenac,2023,-0.5032678619418528,-0.6087869401596451,0.7210770437884892,1.3483734170053694,-0.5393720582921184,-0.3562329426839621,-0.0027068102325739436
26159,Van Buren,2023,-0.5060161771948449,0.968732244844143,0.7888183311536116,0.39250897371154553,0.7446311203465064,-1.6822460104154306,
26043,Dickinson,2023,-0.5328390985143471,-0.36598496502946753,-3.516195955873114,0.42053624358796626,-1.675222001758402,-0.5168784146999309,
26099,Macomb,2023,-0.5357249167777143,0.0029325247371093655,-1.3231409844167241,-1.1557126725000786,0.36112143193434015,-0.9422382939369531,-0.027773216930479273
26151,Sanilac,2023,-0.6181879679741042,-1.8278396828694652,0.18968561851070942,0.7133858499728889,-0.6640393505236304,0.826483597912146,1.0571682241204947
26143,Roscommon,2023,-0.6723784666200637,-1.5678492583231505,2.8518475736121407,-0.42921516058340925,0.055569787039557894,,0.040220316356652804
26031,Cheboygan,2023,-0.6849906908388769,0.9203582478015534,4.112706339710854,0.8094118511787238,1.3211307888563015,,0.7564477104867189
26113,Missaukee,2023,-0.6876634385482623,-0.6812622348083945,-0.8249758035799648,3.172178593814821,0.6089215514833848,,0.4856871775127403
26013,Baraga,2023,-0.7107563554888447,-1.3118913969668393,-2.302906634937248,-6.590097097296733,-0.6828590696062188,0.6387252526063847,1.0839372414976403
26009,Antrim,2023,-0.7362242596284898,0.0395975814013097,5.122583536585806,1.8406064523895695,0.6361841500795069,,1.476507553745271
26001,Alcona,2023,-0.7385784294408783,-1.2260001331507464,3.434211162478068,3.270217744008381,0.21521551319402965,,0.5214175311238346
26131,Ontonagon,2023,-0.8415549150846788,-1.5701472796926372,,-1.36063742667402,-0.0009497521449599033,2.301190296266697,
26111,Midland,2023,-0.8457754105476564,-0.20477009862625573,-1.6844517723862593,1.2745663079217808,0.9047197636869875,-0.699715524665078,-1.1793158884180972
26155,Shiawassee,2023,-0.9628188618875941,0.09602535046501237,-0.5690120093092788,1.9679277436259135,1.6730094481967752,-0.3070407713517832,0.46393103556400944
26037,Clinton,2023,-1.0248972930675193,1.0008899005850864,-2.0746011697113973,-0.1673764552496686,1.589409112917071,-3.653262122893601,-1.9500516930324159
26055,Grand Traverse,2023,-1.0465374220152248,0.6987094908313153,-1.3596415406670896,-0.6883186788135254,-0.5267460207146561,-2.221467366762989,-2.6833717883249664
26105,Mason,2023,-1.0546199845075954,0.4551151608375482,-0.3427139124465719,-1.5810344303113202,-1.6263069812315663,,
26147,St. Clair,2023,-1.1056297381563387,-1.2901113115916143,0.2643292294399322,1.2297496206973126,-1.2764665134152031,-0.15267052141017973,-0.5034744475868114
26141,Presque Isle,2023,-1.486685608685895,-0.6705090157692419,2.694862575372379,-0.34312647977235944,0.6917925352318934,,-0.12791190075848727
26029,Charlevoix,2023,-1.5290789906147875,-0.1841703146653243,2.150209902214489,-0.9861590279886447,1.372908324236588,-1.7999432303284104,-0.8290268188213634
26087,Lapeer,2023,-1.6199666274753644,-0.3501264602282682,1.4935760204032094,3.047147752546746,0.7880796089286783,,-0.6893335784049635
26051,Gladwin,2023,-1.6807997674882822,-0.8782628650521307,1.6722786096546027,3.5751316922762566,0.38110009605970074,,-0.10735815621852378
26017,Bay,2023,-1.6983900117251365,-0.6967664204267217,-0.5562370913164345,0.7350783720546248,-0.4392686589692231,-1.3492452230676337,-1.4245744772219844
26019,Benzie,2023,-2.1389732534028023,-0.307032470100191,2.249064534507258,-2.0906363015678155,0.5974480828246909,-1.2929727086151497,
26089,Leelanau,2023,-2.511705070184319,0.8015212706004518,3.246306165327714,2.43554252572239,1.4602179581689674,,
26093,Livingston,2023,-3.3863911645939844,0.7027446860449434,1.0234850567422775,3.35105751412722,1.4384818541349937,-2.795868249115378,-2.40056559470698
26083,Keweenaw,2023,-4.572526899024287,-1.1369211847123806,,-0.4269931743479962,0.1711975761250222,,
