variable,between_var,within_var,within_share_of_total
share_65plus,25.3634,4.1408,0.1403
share_75plus,4.6796,0.3591,0.0713
population_growth_rate,0.0,0.0001,0.8349
poverty_rate,13.973,3.2231,0.1874
bachelors_plus_share,72.8842,4.2616,0.0552
